Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Backlog,Reopened,On Hold,Refined,In Development,Ready for test,In Testing,Waiting for acceptance,In Progress,Done,Abandoned,,,,
,CALLS-1170,LT iBank Giro and cart of payments (ID),8/5/25,0.00h,0.37h,809.80h,,,,0.00h,170.45h,93.43h,24.58h,,,6408.73h,,,,,
,CALLS-1169,LT iBank Giro payment input/view (ID),7/24/25,0.20h,1.18h,810.17h,,,,0.00h,,3.20h,2.38h,,,6691.63h,,,,,
,CALLS-1168,Add new holder channel code for Flow Manager to DP_HOLDER table,7/10/25,523.80h,,,,,,,,,,,,,7032.97h,,,,
,CALLS-1167,Run tests with central bank,7/10/25,28.78h,,330.30h,,,,168.35h,,0.02h,0.00h,,,7032.58h,,,,,
,CALLS-1166,Review test environment setup before official tests with central bank,7/10/25,28.72h,,17.30h,,,,0.00h,,357.92h,123.58h,,,7032.55h,,,,,
,CALLS-1163,Add new column to DP to store initiator of changes,6/27/25,4.03h,,0.02h,,,,21.35h,142.10h,7.03h,41.48h,,,7345.23h,,,,,
,CALLS-1162,Implement possibility to manually initiate reprocessing DLT messages,3/12/26,3577.52h,0.80h,1963.17h,,,,0.05h,406.30h,99.03h,387.95h,,,1145.88h,,,,,
,CALLS-1161,[iBank] Remove Intermediary bank from all forms,7/18/25,0.83h,,23.53h,,,,20.08h,370.15h,177.38h,153.95h,,,6835.98h,,,,,
,CALLS-1160,iBank List of payments (ID),7/22/25,22.98h,,359.17h,,,,13.22h,16.25h,330.63h,100.18h,,,6741.02h,,,,,
,CALLS-1159,[Test] E-invoice manual payments after ID changes,7/24/25,22.23h,,864.23h,,,,0.00h,,0.95h,1.67h,,,6694.65h,,,,,
,CALLS-1158,[Test] Bank Defined Payments (LV) after ID changes,7/25/25,22.28h,,864.22h,,,,0.00h,,0.20h,28.07h,,,6669.02h,,,,,
,CALLS-1157,[Test] GIRO (LT) payment impact after ID changes,6/20/25,3.90h,,73.53h,,,,,,,,,,,7506.52h,,,,
,CALLS-1156,Booking MASS file processing fee,,7675.02h,,,,,,,,,,,,,,,,,
,CALLS-1155,Getting MASS file processing fee,,4314.90h,3360.87h,,,,,,,,,,,,,,,,
,CALLS-1165,Deploy Linux applications to Skyvault environment in TEST,11/13/25,0.00h,,2160.55h,,,,820.00h,1.43h,0.00h,697.02h,,,4002.02h,,,,,
,CALLS-1137,incoming-swift-msg-processor changes,7/28/25,334.22h,,0.00h,,,,0.00h,671.73h,25.73h,68.37h,,,6602.07h,,,,,
,CALLS-1136,aq-mq-mediator changes,7/8/25,3.58h,,0.00h,,,,0.00h,449.02h,147.60h,20.32h,,,7081.60h,,,,,
Production bug,CALLS-1139,Pdf generation is failing with special characters during signing in iBank,6/13/25,0.02h,,2.50h,,,,0.00h,2.88h,15.28h,1.33h,,,7680.17h,,,,,
Production bug,CALLS-1138,GIRO and einvices: there is not possible to sign GIRO payments. tech.error appears,6/13/25,0.02h,,3.37h,,,,0.00h,17.43h,0.75h,0.92h,,,7680.58h,,,,,
,CALLS-1135,SmartForm: characters disappear when typing too fast,6/12/25,0.00h,,0.00h,,,,0.00h,2.38h,17.65h,0.25h,,,7703.60h,,,,,
,CALLS-1134,Sepa-web changes,10/15/25,1.85h,,0.00h,,,,2204.10h,162.67h,576.88h,26.32h,,,4704.83h,,,,,
,CALLS-1133,EPE changes,7/10/25,0.15h,,0.00h,,,,330.62h,0.00h,358.95h,1.10h,,,7034.03h,,,,,
,CALLS-1132,MDM API some elements to be mapped as arrays,6/27/25,0.00h,,19.30h,,,,220.43h,0.00h,164.35h,0.00h,,,7343.22h,,,,,
,CALLS-1154,[iBank] Implement new sysglobal usage in iBank,6/25/25,0.08h,,189.78h,,,,1.53h,21.82h,146.07h,0.02h,,,7388.12h,,,,,
,CALLS-1117,PDF generation - Payment collection e-invoice pages,7/10/25,17.88h,,0.00h,,,,22.93h,349.52h,168.65h,179.95h,,,7033.08h,,,,,
,CALLS-1123,iBank Imported payments PDF (ID),8/22/25,0.00h,117.83h,527.23h,,,,13.17h,20.87h,595.17h,358.15h,,,6211.52h,,,,,
,CALLS-1116,Investigate service task timeout and retry possibilities,1/7/26,3283.33h,1830.88h,0.00h,,,,0.00h,,0.00h,0.00h,,,2682.23h,,,,,
,CALLS-1126,iBank /SGW import (ID),8/13/25,0.00h,0.78h,474.68h,,,,29.33h,168.17h,618.90h,337.70h,,,6215.27h,,,,,
,CALLS-1115,[sepa-exchange] Reservation not cancelled when outgoing Instant Cross-border get Hit by Risk Screening,6/6/25,0.07h,,0.30h,,,,0.77h,1.03h,0.22h,1.77h,,,7846.25h,,,,,
Production bug,CALLS-1114,ibank: beneficiary bank's swift code label is printed in PDF,6/9/25,20.67h,,0.00h,,,,0.00h,2.10h,68.57h,3.70h,,,7771.72h,,,,,
,CALLS-1113,Update components in Defined Payments page,6/12/25,0.00h,,21.02h,,,,0.03h,1.27h,144.02h,29.47h,,,7698.60h,,,,,
,CALLS-1111,PDF generation - refactor currency exchange pdf generation,7/3/25,0.07h,,0.00h,,,,3.53h,508.03h,161.33h,23.13h,,,7200.45h,,,,,
,CALLS-1164,Set-up environments in Skyvault - Linux in TEST,11/13/25,6.72h,,313.47h,,,,94.50h,3272.23h,0.00h,0.00h,,210.12h,4001.98h,,,,,
,CALLS-1110,PDF generation - replace deprecated code from Account Statement page,7/11/25,48.85h,,0.00h,,,,144.68h,641.88h,0.00h,0.00h,,,7062.48h,,,,,
,CALLS-1109,"Create BPMN process definition for ""Duplicity check""",7/8/25,46.32h,0.05h,0.00h,,,,310.92h,0.18h,185.48h,315.42h,,,7080.65h,,,,,
,CALLS-1108,PDF generation - Payment Archive page,6/13/25,17.85h,,0.00h,,,,0.55h,28.65h,139.17h,76.30h,,,7677.48h,,,,,
,CALLS-1107,Create dedicated Service Account to run DB maintenance jobs,5/30/25,0.05h,,0.00h,,,,0.00h,17.77h,0.00h,0.00h,,,8016.93h,,,,,
,CALLS-1106,PDF generation - missing accessability tags for e-invoice PDF,6/30/25,0.07h,,0.00h,,,,0.08h,110.88h,363.63h,294.07h,,,7267.62h,,,,,
,CALLS-1105,Update components in Payment History page,6/9/25,0.00h,,21.00h,,,,3.57h,0.02h,243.73h,0.13h,,,7770.73h,,,,,
,CALLS-1104,UI Screen shots/visuals for Payment options needed,5/29/25,70.17h,,,,,,,,,,,,8038.42h,,,,,
,CALLS-1103,Implement possibility for Payment flow manager Entrypoint to use DP.ID reservation API,10/14/25,181.50h,64.17h,2082.15h,,,,137.98h,697.98h,175.90h,114.93h,,,4729.62h,,,,,
,CALLS-1102,"Basic performance testing for ""Execute saved payment order"" service task",12/11/25,4003.38h,,18.05h,,,,34.28h,816.13h,0.00h,0.00h,,,3331.68h,,,,,
,CALLS-1101,Data mapping and error handling of PAYMENT EXECUTION API service call,1/16/26,2851.90h,4.77h,1167.95h,,,,629.17h,113.83h,413.98h,524.83h,,,2473.63h,,,,,
,CALLS-1099,Implement possibility for Payment flow manager to use SAVED PAYMENT EXECUTION API,11/5/25,2900.35h,4.75h,474.68h,,,,602.73h,50.90h,0.00h,0.00h,,,4195.13h,,,,,
,CALLS-1100,STAR Incoming international payment view - IDs missing (SIPCI),6/6/25,0.00h,21.33h,23.47h,,,,73.02h,192.13h,21.45h,72.75h,,,7849.85h,,,,,
,CALLS-1095,Adjust Kafka Order Status schema,6/9/25,0.13h,,0.00h,,,,23.88h,47.22h,382.10h,27.75h,,,7776.55h,,,,,
,CALLS-1096,alter trigger on DP table to broadcast payments to BPAY streaming application,7/9/25,0.00h,522.37h,384.45h,,,,2.92h,110.40h,169.37h,28.42h,,,7057.65h,,,,,
,CALLS-1177,[IBank] Issue with signing large payment file in import page,8/26/25,0.07h,,235.00h,,613.38h,,84.35h,342.72h,279.13h,823.28h,,,5898.87h,,,,,
,CALLS-1128,iBank Mass payments PDF (ID),8/22/25,0.00h,4.58h,1079.37h,,,,13.13h,108.88h,475.07h,126.52h,,,6474.52h,,,,,
,CALLS-1119,LV iBank International payment PDF (ID),8/1/25,0.00h,0.02h,1682.72h,,,,0.00h,,0.00h,169.28h,,,6500.90h,,,,,
,CALLS-1092,Verify if mandatory attributes provided to Entrypoint,8/19/25,118.18h,1459.83h,672.35h,,,,,,,,,,,6072.68h,,,,
,CALLS-1153,[iBank] New labels and error messages,9/19/25,2474.10h,,18.43h,,,,0.00h,7.45h,176.83h,372.95h,,,5323.68h,,,,,
,CALLS-1091,create dead letter and retry topics for FM entrypoint,6/12/25,0.02h,217.40h,138.75h,,,,100.43h,69.85h,69.77h,74.02h,,,7703.85h,,,,,
Production bug,CALLS-1090,Ibank: during signing tech error appears when importing payment file,5/16/25,0.02h,,19.25h,,,,3.05h,20.00h,1.25h,4.53h,,,8347.90h,,,,,
,CALLS-1089,Setup Kafka related dashboard items,12/11/25,4175.60h,,0.00h,,,,167.92h,390.22h,255.70h,77.83h,,,3331.43h,,,,,
Production bug,CALLS-1088,[ibank] International standing order IBAN not SEPA payment BIC should be provided by customer,5/19/25,0.10h,,23.53h,,,,0.00h,2.13h,95.28h,2.63h,,,8276.12h,,,,,
,CALLS-1087,Cross-border instant payments retesting before go-live,6/6/25,1.20h,4.43h,17.23h,,,,335.88h,,3.90h,193.72h,,,7843.75h,,,,,
,CALLS-1086,PDF generation - remove iText usage from old deprecated code,9/11/25,192.48h,,0.00h,,,,510.08h,1028.43h,433.22h,0.98h,,,6236.63h,,,,,
Production bug,CALLS-1093,Issue with signing large payment file,5/19/25,42.22h,26.85h,0.00h,,,,0.00h,1.03h,68.00h,1.67h,,,8279.00h,,,,,
,CALLS-1085,"Basic performance testing for ""Decide payment priority and out_channel_code"" service task",10/28/25,3932.82h,,0.00h,,,,121.23h,1.53h,0.00h,0.00h,,,4390.03h,,,,,
,CALLS-1084,Data mapping and error handling of payment_priority_out_channel_code API,10/20/25,3042.83h,32.03h,186.08h,,,,318.88h,116.53h,167.02h,0.83h,,,4581.47h,,,,,
,CALLS-1083,Implement possibility for Payment flow manager to use payment_priority_out_channel_code API,10/20/25,2659.07h,369.67h,186.15h,,,,318.88h,116.53h,20.13h,147.72h,,,4581.45h,,,,,
,CALLS-1081,"Basic performance testing for ""Check if payment is executable"" service task",11/6/25,4157.23h,,88.18h,,,,0.00h,24.05h,0.00h,0.00h,,,4173.58h,,,,,
,CALLS-1080,Data mapping and error handling of Payment Order Validator,10/31/25,2775.72h,747.37h,239.55h,,,,1.70h,191.00h,122.18h,48.13h,,,4317.63h,,,,,
,CALLS-1079,Implement possibility for Payment flow manager to use Payment Order Validator API,10/31/25,2775.90h,817.00h,169.95h,,,,1.70h,191.00h,123.70h,46.62h,,,4317.63h,,,,,
,CALLS-1078,Add registrationNumber and legal to the data mapping for MDM API,5/29/25,1.60h,,117.93h,,,,0.58h,9.45h,235.93h,92.42h,,,8038.67h,,,,,
Production bug,CALLS-1076,"[iBank SmartForm]: Show ""Payer's ID Type"" in initial form",5/19/25,0.00h,,65.10h,,,,0.73h,8.98h,158.77h,5.78h,,,8275.88h,,,,,
,CALLS-1152,[iBank LT] [TEST] Impact to Giro payment,8/25/25,675.67h,,1776.02h,,,,0.00h,,0.00h,142.80h,,,5928.80h,,,,,
Production bug,CALLS-1082,Suggested payment option works incorrectly in smartform,5/12/25,0.00h,,89.18h,,,,0.85h,1.12h,0.27h,2.98h,,,8444.78h,,,,,
,CALLS-1075,Setup Grafana dashboards for flow manager applications,6/11/25,1.48h,,0.00h,,,,0.00h,813.55h,0.00h,0.00h,,,7725.62h,,,,,
,CALLS-1074,Setup Alerting in Swedbank Alerts system for flow manager applications,10/1/25,2156.97h,,0.00h,,,,842.68h,503.68h,0.00h,0.00h,,,5037.97h,,,,,
,CALLS-1071,Domestic / European payment PDF download redirects to blank payment form,5/9/25,0.02h,,1.67h,,,,0.00h,4.00h,1.62h,16.93h,,,8521.42h,,,,,
,CALLS-1124,EE iBank International payment PDF (ID),7/28/25,0.02h,212.18h,1636.62h,,,,0.00h,,0.00h,74.52h,,,6594.30h,,,,,
,CALLS-1121,iBank/DB Payment moves between DP & VMK structures (ID),5/7/25,0.27h,1.42h,0.75h,,,,,,,,,,,8563.20h,,,,
,CALLS-1069,Remove checking that cover currency fields are provided in international payment blank,5/8/25,0.00h,,0.02h,,,,0.00h,20.03h,2.70h,0.00h,,,8543.02h,,,,,
,CALLS-1129,iBank New payment (International) input (ID),8/1/25,0.00h,0.68h,1896.87h,,,,0.00h,,0.00h,167.85h,,,6501.02h,,,,,
,CALLS-1151,[iBank LV] Import TH6: changes in Postal Addresses,9/22/25,316.23h,,2227.48h,,,,0.05h,593.18h,51.38h,125.93h,,,5254.60h,,,,,
,CALLS-1150,[iBank LV] Import FidaVista: changes in Postal Addresses,9/22/25,316.08h,0.12h,1555.63h,,,,695.45h,500.80h,50.78h,194.52h,,,5255.47h,,,,,
,CALLS-1149,[iBank] Import pain.001 v03: changes in Postal Addresses,9/19/25,0.02h,531.90h,667.97h,,,,250.50h,1155.45h,419.22h,243.78h,,,5324.10h,,,,,
,CALLS-1068,Change orchestrator applications timezone to Tallinn,5/14/25,187.22h,,,,,,,,,,,,,8398.83h,,,,
,CALLS-1067,Setup Andromeda observability for orchestrator applications,5/8/25,1.17h,,0.00h,,,,0.00h,43.52h,0.00h,,,,8541.37h,,,,,
,CALLS-1066,Whitelist common QA certificate for orchestrator admin and entrypoint,5/7/25,0.00h,,0.00h,,,,0.00h,0.67h,15.57h,0.35h,,,8569.70h,,,,,
,CALLS-1065,"[UX iBank SmartForm] Hide ""Add additional data"" curtain if it is empty",5/7/25,0.40h,,0.00h,,,,0.00h,1.40h,15.50h,0.32h,,,8569.20h,,,,,
Production bug,CALLS-1070,Smartform crashes after specific symbol in remittance info (or other fields),5/15/25,0.05h,,45.28h,,,,0.32h,7.47h,27.40h,0.00h,,,8485.35h,,,,,
Production bug,CALLS-1064,"[iBank SmartForm]: Issue with ""Payers ID"" field",5/7/25,5.85h,,0.00h,,,,0.03h,,21.93h,0.38h,,,8564.42h,,,,,
,CALLS-1063,"[UX iBank SmartForm] Add area-label for ""download"" button",5/26/25,340.18h,,18.43h,,,,3.15h,31.10h,90.20h,23.98h,,,8109.75h,,,,,
,CALLS-1062,[UX iBank SmartForm] D.O.B. Country list,5/6/25,30.00h,,,,,,,,,,,,,8587.02h,,,,
,CALLS-1060,[UX iBank SmartForm] Change label based on Payers ID type,5/6/25,27.47h,,,,,,,,,,,,,8589.62h,,,,
,CALLS-1059,[UX iBank SmartForm] Disabled fields are ignored by NVDA,5/7/25,23.12h,,0.00h,,,,0.55h,6.73h,19.30h,3.10h,,,8564.33h,,,,,
,CALLS-1058,[UX iBank SmartForm] Labels,5/23/25,340.55h,,18.53h,,,,2.97h,26.13h,20.02h,24.72h,,,8184.30h,,,,,
Production bug,CALLS-1072,"EE, LT iBank: Beneficiary's residence country in intra-bank payments",5/8/25,0.00h,0.38h,71.82h,,,,0.00h,2.57h,1.82h,2.28h,,,8538.37h,,,,,
,CALLS-1057,[UX iBank SmartForm] Suggestions title,5/22/25,411.68h,,,,,,,,,,,,,8205.67h,,,,
,CALLS-1056,[UX iBank SmartForm] No results found,5/22/25,411.60h,,,,,,,,,,,,,8205.77h,,,,
Production bug,CALLS-1055,[ibank] Domestic/european standing order ultimate parties addresses should not be shown in form,5/6/25,0.00h,,65.88h,,,,4.33h,23.08h,1.65h,1.52h,,,8587.52h,,,,,
Production bug,CALLS-1054,[ibank] International standing order without IBAN can not be created,5/15/25,0.00h,,65.98h,,,,23.90h,99.78h,1.55h,117.95h,,,8374.93h,,,,,
,CALLS-1053,Prepare tests for final process definition,,8689.15h,,,,,,,,,,,,,,,,,
,CALLS-1148,[iBank] International payment view page: show Hybrid address,7/17/25,3.92h,0.23h,1612.78h,,,,19.77h,20.67h,146.18h,23.48h,,,6863.03h,,,,,
,CALLS-1147,[iBank] Domestic/European payment view page: show Hybrid address,7/15/25,0.70h,,1656.13h,,,,7.25h,17.42h,98.17h,1.50h,,,6908.90h,,,,,
,CALLS-1052,Decommision POC MSSQL database,6/27/25,100.47h,,45.65h,,,,0.00h,1202.72h,0.00h,0.00h,,,7342.13h,,,,,
,CALLS-1051,Remove POC camunda applications,5/5/25,0.00h,,0.00h,,,,1.60h,78.47h,0.00h,0.00h,,,8610.90h,,,,,
,CALLS-1050,Decommission POC camunda project,6/27/25,0.00h,,0.00h,,,,1348.87h,,0.00h,0.00h,,,7342.12h,,,,,
Production bug,CALLS-1049,[sepa-exchange] Cache reloading does not reload all cache,4/30/25,0.00h,,0.00h,,,,0.00h,3.92h,0.00h,0.00h,,,8734.10h,,,,,
,CALLS-1048,Investigate removal of history tables indexes,,8760.15h,,,,,,,,,,,,,,,,,
,CALLS-1047,Add Tracing solution,1/15/26,220.52h,,0.15h,,,,0.00h,161.23h,31.48h,140.93h,,,8207.00h,,,,,
,CALLS-1046,Implement monitoring/alerting of archiving process,10/6/25,2549.13h,,693.60h,,,,478.68h,5.40h,0.00h,119.78h,,,4915.93h,,,,,
,CALLS-1045,Implement automatic history data removal from Archive DB,6/25/25,0.02h,,170.10h,,,,51.40h,1147.47h,0.00h,1.67h,,,7391.93h,,,,,
,CALLS-1044,Setup standalone Liquibase for Archive DB change deployments,7/21/25,0.02h,,1561.68h,,,,149.67h,286.83h,0.00h,0.00h,,,6764.53h,,,,,
,CALLS-1043,Configure logging for orchestrator applications,5/7/25,0.00h,,0.00h,,,,0.00h,20.33h,0.68h,188.17h,,,8570.17h,,,,,
,CALLS-1127,LT iBank International payment PDF (ID),7/28/25,0.00h,500.58h,1754.07h,,,,0.00h,,0.00h,2.65h,,,6594.93h,,,,,
,CALLS-1120,EE iBank Domestic/European payment PDF (ID),7/22/25,0.00h,478.22h,1172.77h,,,,13.33h,16.13h,334.33h,93.72h,,,6743.73h,,,,,
,CALLS-1118,LV iBank Domestic/European payment PDF (ID),10/17/25,0.03h,500.22h,1150.78h,,,,13.35h,1412.70h,500.35h,620.28h,,,4654.58h,,,,,
,CALLS-1125,LT iBank Domestic/European payment PDF (ID),7/16/25,0.00h,502.67h,1150.03h,,,,13.33h,16.15h,235.70h,53.50h,,,6882.58h,,,,,
,CALLS-1042,PDF generation - PDFBox warnings,5/14/25,0.07h,,0.97h,,,,163.65h,291.32h,,,,,,8402.12h,,,,
,CALLS-1122,iBank Mass payment edit/view (ID),8/26/25,0.60h,311.93h,1365.10h,,,,13.22h,271.33h,316.32h,223.47h,,,6376.62h,,,,,
,CALLS-1040,Ivy to Artifactory,10/15/25,0.05h,,504.22h,,,,1533.88h,2138.10h,0.00h,0.00h,,,4704.55h,,,,,
,CALLS-1131,iBank New payment (Domestic/ European) input/view (ID),7/23/25,0.00h,335.82h,1008.92h,,,,20.87h,364.88h,201.55h,255.83h,,,6714.47h,,,,,
,CALLS-1039,Add INSTANT option in STAR for Foreign payments,5/14/25,359.20h,,0.00h,,,,100.47h,42.17h,3.70h,2.10h,,,8396.92h,,,,,
,CALLS-1130,iBank Domestic/European payment view (ID),7/9/25,0.00h,336.55h,1010.37h,,,,162.70h,81.93h,70.35h,192.17h,,,7050.53h,,,,,
,CALLS-1038,PDF generation E-invoice page - error on Automated Invoice pdf,4/24/25,0.00h,,15.73h,,,,0.00h,28.33h,0.50h,1.58h,,,8875.82h,,,,,
,CALLS-1037,Payment order LT PDFs field issues,4/22/25,0.17h,,5.12h,,,,,,,,,,,8922.82h,,,,
,CALLS-1036,Payment order EE PDFs field issues,4/24/25,0.37h,,5.00h,,,,0.00h,16.37h,25.12h,0.82h,,,8880.58h,,,,,
,CALLS-1033,Order certificates for Payments Flow manager PROD,4/24/25,0.03h,,0.00h,,,,0.00h,164.80h,0.00h,0.00h,,,8878.37h,,,,,
,CALLS-1146,[iBank LT] Salary/mass payment: change Postal Address,8/1/25,453.32h,,1843.82h,,,,0.00h,81.05h,141.75h,18.52h,,,6504.97h,,,,,
,CALLS-1144,[iBank] Import pain.001 v09: changes in Postal Addresses,9/19/25,474.58h,315.90h,1051.90h,,,,335.42h,990.98h,208.28h,342.38h,,,5324.03h,,,,,
,CALLS-1145,[iBank] [TEST] Standing order PDF: hybrid address,8/22/25,432.80h,,2585.63h,,,,22.87h,,0.00h,5.33h,,,5996.92h,,,,,
,CALLS-1143,[iBank] Standing orders: change Postal addresses,8/21/25,426.70h,5.67h,1745.90h,,,,408.07h,185.43h,99.77h,151.28h,,,6020.75h,,,,,
,CALLS-1142,[iBank] Defined payments: change Postal addresses,8/21/25,425.25h,0.73h,1416.50h,,,,426.40h,383.55h,77.48h,292.22h,,,6021.45h,,,,,
,CALLS-1141,[iBank] International payment: change Postal Addresses,8/21/25,354.70h,3.40h,1316.78h,,,,168.97h,551.37h,21.33h,223.30h,,,6404.17h,,,,,
,CALLS-1140,[iBank] Domestic/European payment: Change Postal Addresses,9/19/25,89.57h,264.67h,2142.33h,,,,20.55h,1155.83h,18.92h,28.05h,,,5324.10h,,,,,
Production bug,CALLS-1032,Overwriting defined payment not saving correspon./intermediary bank's data,10/24/25,0.00h,,4372.55h,,,,0.00h,183.67h,3.85h,20.75h,,,4489.65h,,,,,
,CALLS-1031,PDF generation - Incoming international payments,5/2/25,69.82h,,0.02h,,,,113.35h,95.58h,121.08h,0.48h,,,8689.95h,,,,,
,CALLS-1030,PDF generation - Mass Payments pages,4/15/25,0.08h,,,,,,,,,,,,9093.63h,,,,,
,CALLS-1029,Remove checking that cover currency fields are provided in international payment blank,4/16/25,0.05h,,0.00h,,,,0.00h,18.70h,2.15h,5.78h,,,9067.15h,,,,,
,CALLS-1034,Payment order PDFs field issues,4/22/25,68.10h,,0.00h,,,,0.00h,2.58h,93.12h,0.18h,,,8930.07h,,,,,
,CALLS-1028,Star - Adjust print transactions for Cross-border instant payments - payment type,5/14/25,0.03h,,45.42h,,,,143.53h,503.68h,3.18h,2.07h,,,8396.93h,,,,,
,CALLS-1027,History Cleanup in Camunda DB,9/1/25,2903.18h,148.37h,20.37h,,,,0.70h,23.73h,0.00h,245.00h,,,5755.00h,,,,,
,CALLS-1026,Route to Flow Orchestrator entry point to appropriate country,1/14/26,746.65h,166.55h,1342.52h,,,,961.92h,389.10h,1006.13h,24.13h,,,4483.73h,,,,,
,CALLS-1025,Update components in Standing Order form,4/24/25,0.08h,,14.82h,,,,0.95h,30.58h,160.35h,30.48h,,,8875.78h,,,,,
,CALLS-1024,[enabler] Prepare - Baltic Payment Order Management service offering to be “Operational”,,6623.58h,,0.12h,,,,2495.88h,,,,,,,,,,,
,CALLS-1022,Applications upgrade,4/14/25,0.37h,,0.00h,,,,0.00h,97.13h,0.00h,0.00h,,,9114.27h,,,,,
,CALLS-1021,DB upgrade,4/14/25,0.00h,,0.00h,,,,0.00h,94.53h,0.00h,0.00h,,,9117.30h,,,,,
,CALLS-1020,Fix tech error for imported disappeared payments,10/15/25,0.85h,,4511.02h,,,,,,,,,,,4700.52h,,,,
Production bug,CALLS-1023,No subject alternative DNS name matching,4/11/25,0.30h,,0.00h,,,,0.00h,,0.67h,20.08h,,,9193.75h,,,,,
,CALLS-1019,iBank: remove account selection from international payment confirmation and signing,4/14/25,8.23h,,16.90h,,,,0.00h,3.93h,67.23h,2.30h,,,9118.88h,,,,,
,CALLS-1014,Convert message received from batch handler to PODM format,10/13/25,795.60h,150.18h,38.53h,,,,1318.22h,1085.67h,1006.13h,95.90h,,,4750.27h,,,,,
,CALLS-1013,Data mapping and error handling of foreign currency,12/30/25,3191.78h,97.42h,0.45h,,,,0.02h,0.00h,0.00h,0.00h,,,5903.70h,,,,,
,CALLS-1011,Hide Camunda internal API's for external usage (Additional logic to activate in Preprod),12/9/25,5737.53h,125.22h,0.00h,,,,,,,,,,3378.83h,,,,,
,CALLS-1010,"Basic performance testing for ""Enrich account data"" service task",8/28/25,3217.95h,,0.00h,,,,143.43h,0.00h,0.00h,24.13h,,,5856.43h,,,,,
,CALLS-1009,"Basic performance testing for ""Enrich customer data"" service task",8/21/25,626.20h,0.02h,22.47h,,,,,,,,,,150.70h,8418.57h,,,,
,CALLS-1008,"Basic performance testing for ""Check service limitations"" service task",8/28/25,3218.05h,,0.00h,,,,165.80h,,0.00h,1.70h,,,5856.43h,,,,,
,CALLS-1007,Data mapping and error handling of Accounts data,7/8/25,313.68h,29.92h,17.48h,,,,718.70h,553.27h,364.10h,165.22h,,,7079.70h,,,,,
,CALLS-1006,Data mapping and error handling of Customer data,5/7/25,314.08h,144.60h,22.38h,,,,2.02h,29.83h,158.97h,4.28h,,,8565.92h,,,,,
,CALLS-1005,Data mapping and error handling of service limitation,6/25/25,314.10h,382.72h,0.00h,,,,960.88h,26.92h,167.80h,1.52h,,,7388.17h,,,,,
,CALLS-995,Configure Liquibase for Camunda,4/7/25,0.00h,,,,,,,,,,,,,9285.57h,,,,
,CALLS-994,Update Camunda from 7.22 to 7.23,4/14/25,1.98h,,0.00h,,,,93.20h,76.17h,0.00h,0.00h,,,9114.27h,,,,,
,CALLS-1003,Implement storing payment order task using API call to PODM,6/26/25,0.00h,1120.78h,359.90h,,,,27.93h,86.90h,73.12h,323.07h,,,7362.10h,,,,,
,CALLS-990,Follow Payments status in core DB,6/17/25,1803.55h,,,,,,,,,,,,,7580.03h,,,,
,CALLS-989,PDF generation - Payment file import page,5/2/25,312.12h,,0.00h,,,,2.60h,305.28h,59.85h,17.72h,,,8687.77h,0.00h,,,,
,CALLS-988,PDF generation - Giro payments page,4/15/25,308.38h,,,,,,,,,,,,9093.65h,,,,,
,CALLS-987,PDF generation - Standing order pages,4/29/25,41.52h,,0.00h,,,,0.00h,436.18h,130.83h,33.02h,,,8760.45h,,,,,
,CALLS-986,PDF generation - E-invoice pages,4/22/25,302.35h,,0.00h,,,,0.00h,48.57h,7.47h,113.62h,,,8930.05h,,,,,
,CALLS-985,PDF generation - Smart form page,4/7/25,113.33h,,,,,,,,,,,,,9288.80h,,,,
,CALLS-984,PDF generation - International payment info page,4/7/25,113.90h,,,,,,,,,,,,,9288.27h,,,,
,CALLS-983,PDF generation - International payments,4/18/25,182.08h,,0.00h,,,,5.63h,122.38h,25.15h,45.28h,,,9021.63h,,,,,
,CALLS-982,PDF generation - Domestic and SEPA cross-border,4/22/25,16.98h,,0.00h,,,,101.48h,226.48h,28.42h,98.78h,,,8930.08h,,,,,
,CALLS-981,(Investigate) Payment order status in ISO format,6/12/25,0.00h,1703.82h,0.00h,,,,,,,,,,7704.22h,,,,,
,CALLS-1002,"Basic performance testing for ""Duplicity check"" service task",8/28/25,16.35h,,3385.95h,,,,117.50h,7.52h,0.00h,42.53h,,,5856.43h,,,,,
,CALLS-1035,IBank: To update Standing order agreement PDF near Easy saver,4/28/25,496.83h,,49.55h,,,,0.00h,0.02h,95.68h,5.70h,,,8778.80h,,,,,
,CALLS-980,Investigate history table usage during process execution,4/29/25,0.00h,,0.00h,,,,70.40h,602.73h,0.00h,0.00h,,,8760.07h,,,,,
,CALLS-993,iBank - Imported payment disappears,4/11/25,0.20h,,2.85h,,,,0.00h,165.20h,47.35h,23.12h,,,9195.17h,,,,,
,CALLS-1001,Implement timeout and error handling,12/18/25,2825.20h,1538.95h,1822.75h,,,,,,,,,,3167.75h,,,,,
,CALLS-1000,Implement duplicity check API logic,6/25/25,86.38h,24.20h,1201.48h,,,122.65h,147.07h,9.02h,88.13h,407.17h,,,7389.70h,,,,,
,CALLS-999,Implement duplicity check task using API call to PODM,6/19/25,111.88h,24.23h,786.00h,,,101.67h,485.00h,145.22h,21.05h,340.02h,,,7530.73h,,,,,
,CALLS-977,Monitoring solution for Flow manager and surrounding functionality.,12/11/25,937.18h,,0.00h,,,,4337.33h,881.00h,0.00h,0.00h,,,3326.52h,,,,,
